Time (s),GenPwr
26.5000,6.164E+02
26.6000,6.183E+02
26.7000,6.197E+02
26.8000,6.209E+02
26.9000,6.221E+02
27.0000,6.236E+02
27.1000,6.255E+02
27.2000,6.276E+02
27.3000,6.294E+02
27.4000,6.308E+02
27.5000,6.320E+02
27.6000,6.331E+02
27.7000,6.344E+02
27.8000,6.360E+02
27.9000,6.375E+02
28.0000,6.389E+02
28.1000,6.400E+02
28.2000,6.409E+02
28.3000,6.415E+02
28.4000,6.419E+02
28.5000,6.421E+02
28.6000,6.423E+02
28.7000,6.423E+02
28.8000,6.422E+02
28.9000,6.422E+02
29.0000,6.420E+02
29.1000,6.420E+02
29.2000,6.422E+02
29.3000,6.424E+02
29.4000,6.430E+02
29.5000,6.442E+02
29.6000,6.455E+02
29.7000,6.468E+02
29.8000,6.478E+02
29.9000,6.490E+02
30.0000,6.504E+02
30.1000,6.517E+02
30.2000,6.529E+02
30.3000,6.540E+02
30.4000,6.551E+02
30.5000,6.561E+02
30.6000,6.574E+02
30.7000,6.589E+02
30.8000,6.607E+02
30.9000,6.619E+02
31.0000,6.624E+02
31.1000,6.624E+02
31.2000,6.621E+02
31.3000,6.616E+02
31.4000,6.610E+02
31.5000,6.601E+02
31.6000,6.589E+02
31.7000,6.577E+02
31.8000,6.567E+02
31.9000,6.557E+02
32.0000,6.547E+02
32.1000,6.538E+02
32.2000,6.531E+02
32.3000,6.526E+02
32.4000,6.525E+02
32.5000,6.528E+02
32.6000,6.535E+02
32.7000,6.542E+02
32.8000,6.548E+02
32.9000,6.553E+02
33.0000,6.558E+02
33.1000,6.560E+02
33.2000,6.562E+02
33.3000,6.565E+02
33.4000,6.569E+02
33.5000,6.576E+02
33.6000,6.584E+02
33.7000,6.592E+02
33.8000,6.595E+02
33.9000,6.597E+02
34.0000,6.597E+02
34.1000,6.595E+02
34.2000,6.590E+02
34.3000,6.583E+02
34.4000,6.575E+02
34.5000,6.566E+02
34.6000,6.554E+02
34.7000,6.537E+02
34.8000,6.519E+02
34.9000,6.501E+02
35.0000,6.486E+02
35.1000,6.477E+02
35.2000,6.470E+02
35.3000,6.463E+02
35.4000,6.459E+02
35.5000,6.456E+02
35.6000,6.455E+02
35.7000,6.455E+02
35.8000,6.457E+02
35.9000,6.462E+02
36.0000,6.466E+02
36.1000,6.467E+02
36.2000,6.466E+02
36.3000,6.463E+02
36.4000,6.458E+02
36.5000,6.453E+02
36.6000,6.449E+02
36.7000,6.446E+02
36.8000,6.440E+02
36.9000,6.431E+02
37.0000,6.420E+02
37.1000,6.410E+02
37.2000,6.399E+02
37.3000,6.390E+02
37.4000,6.381E+02
37.5000,6.371E+02
37.6000,6.356E+02
37.7000,6.337E+02
37.8000,6.316E+02
37.9000,6.298E+02
38.0000,6.283E+02
38.1000,6.270E+02
38.2000,6.259E+02
38.3000,6.249E+02
38.4000,6.241E+02
38.5000,6.234E+02
38.6000,6.229E+02
38.7000,6.224E+02
38.8000,6.219E+02
38.9000,6.213E+02
39.0000,6.205E+02
39.1000,6.197E+02
39.2000,6.189E+02
39.3000,6.179E+02
39.4000,6.167E+02
39.5000,6.156E+02
39.6000,6.148E+02
39.7000,6.141E+02
39.8000,6.134E+02
39.9000,6.127E+02
40.0000,6.121E+02
40.1000,6.114E+02
40.2000,6.109E+02
40.3000,6.103E+02
40.4000,6.097E+02
40.5000,6.091E+02
40.6000,6.083E+02
40.7000,6.072E+02
40.8000,6.062E+02
40.9000,6.050E+02
41.0000,6.037E+02
41.1000,6.026E+02
41.2000,6.017E+02
41.3000,6.009E+02
41.4000,5.999E+02
41.5000,5.990E+02
41.6000,5.981E+02
41.7000,5.972E+02
41.8000,5.965E+02
41.9000,5.957E+02
42.0000,5.948E+02
42.1000,5.939E+02
42.2000,5.928E+02
42.3000,5.918E+02
42.4000,5.909E+02
42.5000,5.903E+02
42.6000,5.901E+02
42.7000,5.901E+02
42.8000,5.902E+02
42.9000,5.900E+02
43.0000,5.897E+02
43.1000,5.893E+02
43.2000,5.892E+02
43.3000,5.893E+02
43.4000,5.893E+02
43.5000,5.891E+02
43.6000,5.885E+02
43.7000,5.873E+02
43.8000,5.859E+02
43.9000,5.845E+02
44.0000,5.834E+02
44.1000,5.827E+02
44.2000,5.823E+02
44.3000,5.818E+02
44.4000,5.815E+02
44.5000,5.813E+02
44.6000,5.812E+02
44.7000,5.809E+02
44.8000,5.804E+02
44.9000,5.799E+02
45.0000,5.795E+02
45.1000,5.788E+02
45.2000,5.781E+02
45.3000,5.774E+02
45.4000,5.770E+02
45.5000,5.769E+02
45.6000,5.769E+02
45.7000,5.772E+02
45.8000,5.776E+02
45.9000,5.780E+02
46.0000,5.784E+02
46.1000,5.790E+02
46.2000,5.796E+02
46.3000,5.800E+02
46.4000,5.803E+02
46.5000,5.805E+02
46.6000,5.804E+02
46.7000,5.799E+02
46.8000,5.793E+02
46.9000,5.785E+02
47.0000,5.778E+02
47.1000,5.771E+02
47.2000,5.765E+02
47.3000,5.762E+02
47.4000,5.760E+02
47.5000,5.760E+02
47.6000,5.760E+02
47.7000,5.760E+02
47.8000,5.757E+02
47.9000,5.753E+02
48.0000,5.748E+02
48.1000,5.744E+02
48.2000,5.740E+02
48.3000,5.738E+02
48.4000,5.738E+02
48.5000,5.741E+02
48.6000,5.744E+02
48.7000,5.747E+02
48.8000,5.750E+02
48.9000,5.751E+02
49.0000,5.750E+02
49.1000,5.748E+02
49.2000,5.748E+02
49.3000,5.748E+02
49.4000,5.749E+02
49.5000,5.750E+02
49.6000,5.751E+02
49.7000,5.753E+02
49.8000,5.754E+02
49.9000,5.755E+02
50.0000,5.754E+02
50.1000,5.753E+02
50.2000,5.752E+02
50.3000,5.748E+02
50.4000,5.745E+02
50.5000,5.742E+02
50.6000,5.740E+02
50.7000,5.742E+02
50.8000,5.744E+02
50.9000,5.745E+02
51.0000,5.745E+02
51.1000,5.743E+02
51.2000,5.741E+02
51.3000,5.737E+02
51.4000,5.733E+02
51.5000,5.731E+02
51.6000,5.729E+02
51.7000,5.729E+02
51.8000,5.727E+02
51.9000,5.725E+02
52.0000,5.724E+02
52.1000,5.723E+02
52.2000,5.721E+02
52.3000,5.718E+02
52.4000,5.715E+02
52.5000,5.712E+02
52.6000,5.707E+02
52.7000,5.704E+02
52.8000,5.701E+02
52.9000,5.699E+02
53.0000,5.695E+02
53.1000,5.690E+02
53.2000,5.685E+02
53.3000,5.680E+02
53.4000,5.677E+02
53.5000,5.677E+02
53.6000,5.677E+02
53.7000,5.677E+02
53.8000,5.680E+02
53.9000,5.686E+02
54.0000,5.694E+02
54.1000,5.703E+02
54.2000,5.711E+02
54.3000,5.718E+02
54.4000,5.722E+02
54.5000,5.722E+02
54.6000,5.720E+02
54.7000,5.716E+02
54.8000,5.711E+02
54.9000,5.704E+02
55.0000,5.697E+02
55.1000,5.690E+02
55.2000,5.687E+02
55.3000,5.689E+02
55.4000,5.692E+02
55.5000,5.692E+02
55.6000,5.691E+02
55.7000,5.691E+02
55.8000,5.692E+02
55.9000,5.693E+02
56.0000,5.694E+02
56.1000,5.693E+02
56.2000,5.689E+02
56.3000,5.685E+02
56.4000,5.682E+02
56.5000,5.682E+02
56.6000,5.683E+02
56.7000,5.685E+02
56.8000,5.689E+02
56.9000,5.695E+02
57.0000,5.704E+02
57.1000,5.714E+02
57.2000,5.723E+02
57.3000,5.731E+02
57.4000,5.737E+02
57.5000,5.743E+02
57.6000,5.749E+02
57.7000,5.753E+02
57.8000,5.755E+02
57.9000,5.754E+02
58.0000,5.752E+02
58.1000,5.750E+02
58.2000,5.749E+02
58.3000,5.748E+02
58.4000,5.748E+02
