Time (s),GenTq

0.0000,1.234E+01
0.1000,1.228E+01
0.2000,1.222E+01
0.3000,1.217E+01
0.4000,1.211E+01
0.5000,1.205E+01
0.6000,1.200E+01
0.7000,1.195E+01
0.8000,1.190E+01
0.9000,1.186E+01
1.0000,1.182E+01
1.1000,1.178E+01
1.2000,1.174E+01
1.3000,1.170E+01
1.4000,1.167E+01
1.5000,1.164E+01
1.6000,1.162E+01
1.7000,1.159E+01
1.8000,1.156E+01
1.9000,1.153E+01
2.0000,1.150E+01
2.1000,1.146E+01
2.2000,1.142E+01
2.3000,1.138E+01
2.4000,1.133E+01
2.5000,1.128E+01
2.6000,1.123E+01
2.7000,1.118E+01
2.8000,1.113E+01
2.9000,1.109E+01
3.0000,1.104E+01
3.1000,1.099E+01
3.2000,1.094E+01
3.3000,1.090E+01
3.4000,1.085E+01
3.5000,1.081E+01
3.6000,1.077E+01
3.7000,1.073E+01
3.8000,1.070E+01
3.9000,1.066E+01
4.0000,1.063E+01
4.1000,1.060E+01
4.2000,1.057E+01
4.3000,1.055E+01
4.4000,1.053E+01
4.5000,1.050E+01
4.6000,1.048E+01
4.7000,1.046E+01
4.8000,1.043E+01
4.9000,1.040E+01
5.0000,1.037E+01
5.1000,1.033E+01
5.2000,1.029E+01
5.3000,1.025E+01
5.4000,1.021E+01
5.5000,1.016E+01
5.6000,1.012E+01
5.7000,1.008E+01
5.8000,1.004E+01
5.9000,1.000E+01
6.0000,9.966E+00
6.1000,9.929E+00
6.2000,9.891E+00
6.3000,9.853E+00
6.4000,9.814E+00
6.5000,9.778E+00
6.6000,9.746E+00
6.7000,9.717E+00
6.8000,9.691E+00
6.9000,9.667E+00
7.0000,9.644E+00
7.1000,9.623E+00
7.2000,9.604E+00
7.3000,9.589E+00
7.4000,9.577E+00
7.5000,9.564E+00
7.6000,9.547E+00
7.7000,9.527E+00
7.8000,9.505E+00
7.9000,9.483E+00
8.0000,9.459E+00
8.1000,9.437E+00
8.2000,9.415E+00
8.3000,9.393E+00
8.4000,9.368E+00
8.5000,9.339E+00
8.6000,9.311E+00
8.7000,9.284E+00
8.8000,9.259E+00
8.9000,9.236E+00
9.0000,9.212E+00
9.1000,9.186E+00
9.2000,9.156E+00
9.3000,9.123E+00
9.4000,9.091E+00
9.5000,9.063E+00
9.6000,9.037E+00
9.7000,9.016E+00
9.8000,8.997E+00
9.9000,8.978E+00
10.0000,8.962E+00
10.1000,8.945E+00
10.2000,8.926E+00
10.3000,8.907E+00
10.4000,8.888E+00
10.5000,8.868E+00
10.6000,8.848E+00
10.7000,8.825E+00
10.8000,8.801E+00
10.9000,8.779E+00
11.0000,8.759E+00
11.1000,8.742E+00
11.2000,8.727E+00
11.3000,8.711E+00
11.4000,8.696E+00
11.5000,8.682E+00
11.6000,8.666E+00
11.7000,8.649E+00
11.8000,8.629E+00
11.9000,8.610E+00
12.0000,8.592E+00
12.1000,8.576E+00
12.2000,8.559E+00
12.3000,8.539E+00
12.4000,8.516E+00
12.5000,8.493E+00
12.6000,8.471E+00
12.7000,8.453E+00
12.8000,8.438E+00
12.9000,8.424E+00
13.0000,8.410E+00
13.1000,8.395E+00
13.2000,8.379E+00
13.3000,8.361E+00
13.4000,8.341E+00
13.5000,8.319E+00
13.6000,8.298E+00
13.7000,8.280E+00
13.8000,8.263E+00
13.9000,8.246E+00
14.0000,8.231E+00
14.1000,8.218E+00
14.2000,8.208E+00
14.3000,8.199E+00
14.4000,8.191E+00
14.5000,8.183E+00
14.6000,8.174E+00
14.7000,8.162E+00
14.8000,8.151E+00
14.9000,8.142E+00
15.0000,8.132E+00
15.1000,8.123E+00
15.2000,8.115E+00
15.3000,8.107E+00
15.4000,8.098E+00
15.5000,8.088E+00
15.6000,8.078E+00
15.7000,8.067E+00
15.8000,8.057E+00
15.9000,8.047E+00
16.0000,8.037E+00
16.1000,8.025E+00
16.2000,8.010E+00
16.3000,7.993E+00
16.4000,7.976E+00
16.5000,7.958E+00
16.6000,7.940E+00
16.7000,7.923E+00
16.8000,7.906E+00
16.9000,7.889E+00
17.0000,7.873E+00
17.1000,7.858E+00
17.2000,7.844E+00
17.3000,7.831E+00
17.4000,7.818E+00
17.5000,7.809E+00
17.6000,7.803E+00
17.7000,7.802E+00
17.8000,7.803E+00
17.9000,7.804E+00
18.0000,7.804E+00
18.1000,7.805E+00
18.2000,7.809E+00
18.3000,7.812E+00
18.4000,7.813E+00
18.5000,7.812E+00
18.6000,7.810E+00
18.7000,7.806E+00
18.8000,7.802E+00
18.9000,7.798E+00
19.0000,7.794E+00
19.1000,7.789E+00
19.2000,7.784E+00
19.3000,7.778E+00
19.4000,7.769E+00
19.5000,7.760E+00
19.6000,7.747E+00
19.7000,7.731E+00
19.8000,7.713E+00
19.9000,7.696E+00
20.0000,7.682E+00
20.1000,7.670E+00
20.2000,7.660E+00
20.3000,7.651E+00
20.4000,7.642E+00
20.5000,7.635E+00
20.6000,7.630E+00
20.7000,7.627E+00
20.8000,7.626E+00
20.9000,7.628E+00
21.0000,7.631E+00
21.1000,7.636E+00
21.2000,7.642E+00
21.3000,7.648E+00
21.4000,7.652E+00
21.5000,7.654E+00
21.6000,7.657E+00
21.7000,7.660E+00
21.8000,7.662E+00
21.9000,7.666E+00
22.0000,7.670E+00
22.1000,7.672E+00
22.2000,7.673E+00
22.3000,7.674E+00
22.4000,7.675E+00
22.5000,7.674E+00
22.6000,7.674E+00
22.7000,7.674E+00
22.8000,7.672E+00
22.9000,7.667E+00
23.0000,7.661E+00
23.1000,7.653E+00
23.2000,7.643E+00
23.3000,7.634E+00
23.4000,7.627E+00
23.5000,7.622E+00
23.6000,7.618E+00
23.7000,7.615E+00
23.8000,7.613E+00
23.9000,7.612E+00
24.0000,7.612E+00
24.1000,7.614E+00
24.2000,7.617E+00
24.3000,7.620E+00
24.4000,7.622E+00
24.5000,7.622E+00
24.6000,7.621E+00
24.7000,7.617E+00
24.8000,7.613E+00
24.9000,7.609E+00
25.0000,7.608E+00
25.1000,7.610E+00
25.2000,7.615E+00
25.3000,7.620E+00
25.4000,7.622E+00
25.5000,7.622E+00
25.6000,7.622E+00
25.7000,7.621E+00
25.8000,7.621E+00
25.9000,7.621E+00
26.0000,7.622E+00
26.1000,7.623E+00
26.2000,7.621E+00
26.3000,7.618E+00
26.4000,7.612E+00
26.5000,7.607E+00
26.6000,7.600E+00
26.7000,7.594E+00
26.8000,7.592E+00
26.9000,7.595E+00
27.0000,7.599E+00
27.1000,7.603E+00
27.2000,7.607E+00
27.3000,7.610E+00
27.4000,7.614E+00
27.5000,7.616E+00
27.6000,7.616E+00
27.7000,7.613E+00
27.8000,7.606E+00
27.9000,7.596E+00
28.0000,7.584E+00
28.1000,7.571E+00
28.2000,7.557E+00
28.3000,7.542E+00
28.4000,7.529E+00
28.5000,7.518E+00
28.6000,7.511E+00
28.7000,7.505E+00
28.8000,7.499E+00
28.9000,7.493E+00
29.0000,7.487E+00
29.1000,7.481E+00
29.2000,7.476E+00
29.3000,7.472E+00
29.4000,7.468E+00
29.5000,7.465E+00
29.6000,7.466E+00
29.7000,7.468E+00
29.8000,7.467E+00
29.9000,7.462E+00
30.0000,7.453E+00
30.1000,7.444E+00
30.2000,7.438E+00
30.3000,7.433E+00
30.4000,7.429E+00
30.5000,7.424E+00
30.6000,7.419E+00
30.7000,7.414E+00
30.8000,7.411E+00
30.9000,7.410E+00
31.0000,7.408E+00
31.1000,7.401E+00
31.2000,7.390E+00
31.3000,7.376E+00
31.4000,7.362E+00
31.5000,7.347E+00
31.6000,7.330E+00
31.7000,7.312E+00
31.8000,7.295E+00
31.9000,7.281E+00
32.0000,7.269E+00
32.1000,7.258E+00
32.2000,7.248E+00
32.3000,7.239E+00
32.4000,7.231E+00
32.5000,7.225E+00
32.6000,7.218E+00
32.7000,7.210E+00
32.8000,7.201E+00
32.9000,7.194E+00
33.0000,7.188E+00
33.1000,7.185E+00
33.2000,7.182E+00
33.3000,7.177E+00
33.4000,7.169E+00
33.5000,7.159E+00
33.6000,7.147E+00
