Time (s),GenTq

0.0000,1.234E+01
0.1000,1.232E+01
0.2000,1.230E+01
0.3000,1.228E+01
0.4000,1.226E+01
0.5000,1.224E+01
0.6000,1.222E+01
0.7000,1.222E+01
0.8000,1.222E+01
0.9000,1.223E+01
1.0000,1.223E+01
1.1000,1.223E+01
1.2000,1.222E+01
1.3000,1.221E+01
1.4000,1.220E+01
1.5000,1.219E+01
1.6000,1.219E+01
1.7000,1.218E+01
1.8000,1.217E+01
1.9000,1.216E+01
2.0000,1.214E+01
2.1000,1.213E+01
2.2000,1.211E+01
2.3000,1.209E+01
2.4000,1.207E+01
2.5000,1.205E+01
2.6000,1.203E+01
2.7000,1.200E+01
2.8000,1.198E+01
2.9000,1.195E+01
3.0000,1.193E+01
3.1000,1.190E+01
3.2000,1.187E+01
3.3000,1.185E+01
3.4000,1.183E+01
3.5000,1.183E+01
3.6000,1.182E+01
3.7000,1.181E+01
3.8000,1.180E+01
3.9000,1.179E+01
4.0000,1.177E+01
4.1000,1.176E+01
4.2000,1.175E+01
4.3000,1.174E+01
4.4000,1.172E+01
4.5000,1.171E+01
4.6000,1.169E+01
4.7000,1.166E+01
4.8000,1.164E+01
4.9000,1.162E+01
5.0000,1.160E+01
5.1000,1.158E+01
5.2000,1.156E+01
5.3000,1.153E+01
5.4000,1.150E+01
5.5000,1.148E+01
5.6000,1.145E+01
5.7000,1.143E+01
5.8000,1.140E+01
5.9000,1.138E+01
6.0000,1.136E+01
6.1000,1.134E+01
6.2000,1.134E+01
6.3000,1.133E+01
6.4000,1.133E+01
6.5000,1.133E+01
6.6000,1.132E+01
6.7000,1.131E+01
6.8000,1.131E+01
6.9000,1.129E+01
7.0000,1.128E+01
7.1000,1.127E+01
7.2000,1.125E+01
7.3000,1.123E+01
7.4000,1.122E+01
7.5000,1.120E+01
7.6000,1.118E+01
7.7000,1.116E+01
7.8000,1.114E+01
7.9000,1.112E+01
8.0000,1.110E+01
8.1000,1.108E+01
8.2000,1.106E+01
8.3000,1.104E+01
8.4000,1.102E+01
8.5000,1.099E+01
8.6000,1.097E+01
8.7000,1.095E+01
8.8000,1.092E+01
8.9000,1.091E+01
9.0000,1.090E+01
9.1000,1.090E+01
9.2000,1.090E+01
9.3000,1.089E+01
9.4000,1.089E+01
9.5000,1.088E+01
9.6000,1.088E+01
9.7000,1.087E+01
9.8000,1.086E+01
9.9000,1.086E+01
10.0000,1.085E+01
10.1000,1.083E+01
10.2000,1.081E+01
10.3000,1.080E+01
10.4000,1.078E+01
10.5000,1.076E+01
10.6000,1.074E+01
10.7000,1.073E+01
10.8000,1.071E+01
10.9000,1.069E+01
11.0000,1.067E+01
11.1000,1.065E+01
11.2000,1.064E+01
11.3000,1.062E+01
11.4000,1.060E+01
11.5000,1.057E+01
11.6000,1.055E+01
11.7000,1.053E+01
11.8000,1.052E+01
11.9000,1.053E+01
12.0000,1.053E+01
12.1000,1.054E+01
12.2000,1.054E+01
12.3000,1.055E+01
12.4000,1.056E+01
12.5000,1.056E+01
12.6000,1.056E+01
12.7000,1.056E+01
12.8000,1.056E+01
12.9000,1.056E+01
13.0000,1.055E+01
13.1000,1.054E+01
13.2000,1.053E+01
13.3000,1.051E+01
13.4000,1.049E+01
13.5000,1.048E+01
13.6000,1.046E+01
13.7000,1.044E+01
13.8000,1.043E+01
13.9000,1.041E+01
14.0000,1.040E+01
14.1000,1.039E+01
14.2000,1.039E+01
14.3000,1.038E+01
14.4000,1.037E+01
14.5000,1.035E+01
14.6000,1.034E+01
14.7000,1.034E+01
14.8000,1.033E+01
14.9000,1.033E+01
15.0000,1.034E+01
15.1000,1.034E+01
15.2000,1.036E+01
15.3000,1.037E+01
15.4000,1.038E+01
15.5000,1.039E+01
15.6000,1.040E+01
15.7000,1.041E+01
15.8000,1.041E+01
15.9000,1.041E+01
16.0000,1.041E+01
16.1000,1.040E+01
16.2000,1.039E+01
16.3000,1.037E+01
16.4000,1.036E+01
16.5000,1.035E+01
16.6000,1.034E+01
16.7000,1.033E+01
16.8000,1.032E+01
16.9000,1.031E+01
17.0000,1.031E+01
17.1000,1.030E+01
17.2000,1.029E+01
17.3000,1.028E+01
17.4000,1.027E+01
17.5000,1.026E+01
17.6000,1.027E+01
17.7000,1.027E+01
17.8000,1.028E+01
17.9000,1.029E+01
18.0000,1.030E+01
18.1000,1.032E+01
18.2000,1.035E+01
18.3000,1.037E+01
18.4000,1.038E+01
18.5000,1.040E+01
18.6000,1.041E+01
18.7000,1.041E+01
18.8000,1.041E+01
18.9000,1.041E+01
19.0000,1.041E+01
19.1000,1.041E+01
19.2000,1.040E+01
19.3000,1.040E+01
19.4000,1.041E+01
19.5000,1.042E+01
19.6000,1.042E+01
19.7000,1.042E+01
19.8000,1.041E+01
19.9000,1.040E+01
20.0000,1.039E+01
20.1000,1.038E+01
20.2000,1.037E+01
20.3000,1.036E+01
20.4000,1.036E+01
20.5000,1.036E+01
20.6000,1.037E+01
20.7000,1.038E+01
20.8000,1.039E+01
20.9000,1.041E+01
21.0000,1.043E+01
21.1000,1.045E+01
21.2000,1.047E+01
21.3000,1.048E+01
21.4000,1.049E+01
21.5000,1.049E+01
21.6000,1.049E+01
21.7000,1.049E+01
21.8000,1.049E+01
21.9000,1.049E+01
22.0000,1.048E+01
22.1000,1.049E+01
22.2000,1.049E+01
22.3000,1.050E+01
22.4000,1.052E+01
22.5000,1.053E+01
22.6000,1.055E+01
22.7000,1.056E+01
22.8000,1.056E+01
22.9000,1.056E+01
23.0000,1.055E+01
23.1000,1.055E+01
23.2000,1.054E+01
23.3000,1.054E+01
23.4000,1.053E+01
23.5000,1.053E+01
23.6000,1.053E+01
23.7000,1.053E+01
23.8000,1.054E+01
23.9000,1.055E+01
24.0000,1.055E+01
24.1000,1.056E+01
24.2000,1.056E+01
24.3000,1.056E+01
24.4000,1.055E+01
24.5000,1.055E+01
24.6000,1.053E+01
24.7000,1.052E+01
24.8000,1.051E+01
24.9000,1.051E+01
25.0000,1.051E+01
25.1000,1.051E+01
25.2000,1.052E+01
25.3000,1.053E+01
25.4000,1.054E+01
25.5000,1.055E+01
25.6000,1.055E+01
25.7000,1.055E+01
25.8000,1.054E+01
25.9000,1.053E+01
26.0000,1.052E+01
26.1000,1.051E+01
26.2000,1.050E+01
26.3000,1.050E+01
26.4000,1.049E+01
26.5000,1.049E+01
26.6000,1.048E+01
26.7000,1.048E+01
26.8000,1.047E+01
26.9000,1.045E+01
27.0000,1.043E+01
27.1000,1.042E+01
27.2000,1.040E+01
27.3000,1.038E+01
27.4000,1.036E+01
27.5000,1.033E+01
27.6000,1.031E+01
27.7000,1.029E+01
27.8000,1.028E+01
27.9000,1.027E+01
28.0000,1.026E+01
28.1000,1.026E+01
28.2000,1.025E+01
28.3000,1.024E+01
28.4000,1.022E+01
28.5000,1.020E+01
28.6000,1.018E+01
28.7000,1.016E+01
28.8000,1.014E+01
28.9000,1.012E+01
29.0000,1.010E+01
29.1000,1.008E+01
29.2000,1.007E+01
29.3000,1.005E+01
29.4000,1.004E+01
29.5000,1.002E+01
29.6000,9.997E+00
29.7000,9.978E+00
29.8000,9.958E+00
29.9000,9.937E+00
30.0000,9.914E+00
30.1000,9.890E+00
30.2000,9.865E+00
30.3000,9.838E+00
30.4000,9.812E+00
30.5000,9.787E+00
30.6000,9.764E+00
30.7000,9.745E+00
30.8000,9.730E+00
30.9000,9.714E+00
31.0000,9.698E+00
31.1000,9.680E+00
31.2000,9.659E+00
31.3000,9.636E+00
31.4000,9.610E+00
31.5000,9.583E+00
31.6000,9.554E+00
31.7000,9.526E+00
31.8000,9.496E+00
31.9000,9.464E+00
32.0000,9.429E+00
32.1000,9.393E+00
32.2000,9.356E+00
32.3000,9.321E+00
32.4000,9.288E+00
32.5000,9.257E+00
32.6000,9.228E+00
32.7000,9.201E+00
32.8000,9.174E+00
32.9000,9.147E+00
33.0000,9.118E+00
33.1000,9.091E+00
33.2000,9.064E+00
33.3000,9.039E+00
33.4000,9.014E+00
33.5000,8.989E+00
33.6000,8.965E+00
