Time (s),GenTq

0.0000,1.234E+01
0.1000,1.230E+01
0.2000,1.226E+01
0.3000,1.222E+01
0.4000,1.219E+01
0.5000,1.215E+01
0.6000,1.212E+01
0.7000,1.209E+01
0.8000,1.207E+01
0.9000,1.204E+01
1.0000,1.202E+01
1.1000,1.200E+01
1.2000,1.199E+01
1.3000,1.198E+01
1.4000,1.196E+01
1.5000,1.194E+01
1.6000,1.191E+01
1.7000,1.188E+01
1.8000,1.185E+01
1.9000,1.181E+01
2.0000,1.177E+01
2.1000,1.173E+01
2.2000,1.168E+01
2.3000,1.163E+01
2.4000,1.158E+01
2.5000,1.153E+01
2.6000,1.149E+01
2.7000,1.145E+01
2.8000,1.141E+01
2.9000,1.137E+01
3.0000,1.133E+01
3.1000,1.130E+01
3.2000,1.127E+01
3.3000,1.123E+01
3.4000,1.121E+01
3.5000,1.119E+01
3.6000,1.116E+01
3.7000,1.114E+01
3.8000,1.112E+01
3.9000,1.111E+01
4.0000,1.110E+01
4.1000,1.108E+01
4.2000,1.107E+01
4.3000,1.105E+01
4.4000,1.102E+01
4.5000,1.100E+01
4.6000,1.097E+01
4.7000,1.094E+01
4.8000,1.090E+01
4.9000,1.086E+01
5.0000,1.082E+01
5.1000,1.077E+01
5.2000,1.073E+01
5.3000,1.068E+01
5.4000,1.065E+01
5.5000,1.061E+01
5.6000,1.057E+01
5.7000,1.054E+01
5.8000,1.050E+01
5.9000,1.047E+01
6.0000,1.044E+01
6.1000,1.041E+01
6.2000,1.038E+01
6.3000,1.035E+01
6.4000,1.033E+01
6.5000,1.032E+01
6.6000,1.030E+01
6.7000,1.029E+01
6.8000,1.027E+01
6.9000,1.026E+01
7.0000,1.025E+01
7.1000,1.024E+01
7.2000,1.022E+01
7.3000,1.020E+01
7.4000,1.019E+01
7.5000,1.016E+01
7.6000,1.014E+01
7.7000,1.012E+01
7.8000,1.009E+01
7.9000,1.006E+01
8.0000,1.002E+01
8.1000,9.995E+00
8.2000,9.967E+00
8.3000,9.943E+00
8.4000,9.920E+00
8.5000,9.897E+00
8.6000,9.875E+00
8.7000,9.853E+00
8.8000,9.832E+00
8.9000,9.812E+00
9.0000,9.793E+00
9.1000,9.772E+00
9.2000,9.754E+00
9.3000,9.739E+00
9.4000,9.729E+00
9.5000,9.721E+00
9.6000,9.714E+00
9.7000,9.709E+00
9.8000,9.707E+00
9.9000,9.706E+00
10.0000,9.702E+00
10.1000,9.695E+00
10.2000,9.685E+00
10.3000,9.672E+00
10.4000,9.658E+00
10.5000,9.645E+00
10.6000,9.632E+00
10.7000,9.618E+00
10.8000,9.599E+00
10.9000,9.576E+00
11.0000,9.552E+00
11.1000,9.531E+00
11.2000,9.515E+00
11.3000,9.505E+00
11.4000,9.502E+00
11.5000,9.500E+00
11.6000,9.499E+00
11.7000,9.497E+00
11.8000,9.492E+00
11.9000,9.485E+00
12.0000,9.478E+00
12.1000,9.471E+00
12.2000,9.461E+00
12.3000,9.449E+00
12.4000,9.442E+00
12.5000,9.437E+00
12.6000,9.433E+00
12.7000,9.430E+00
12.8000,9.432E+00
12.9000,9.438E+00
13.0000,9.442E+00
13.1000,9.443E+00
13.2000,9.441E+00
13.3000,9.436E+00
13.4000,9.430E+00
13.5000,9.424E+00
13.6000,9.418E+00
13.7000,9.411E+00
13.8000,9.402E+00
13.9000,9.391E+00
14.0000,9.380E+00
14.1000,9.368E+00
14.2000,9.358E+00
14.3000,9.351E+00
14.4000,9.351E+00
14.5000,9.353E+00
14.6000,9.355E+00
14.7000,9.357E+00
14.8000,9.357E+00
14.9000,9.357E+00
15.0000,9.359E+00
15.1000,9.360E+00
15.2000,9.364E+00
15.3000,9.371E+00
15.4000,9.381E+00
15.5000,9.393E+00
15.6000,9.402E+00
15.7000,9.407E+00
15.8000,9.411E+00
15.9000,9.416E+00
16.0000,9.421E+00
16.1000,9.427E+00
16.2000,9.432E+00
16.3000,9.435E+00
16.4000,9.434E+00
16.5000,9.431E+00
16.6000,9.427E+00
16.7000,9.423E+00
16.8000,9.420E+00
16.9000,9.418E+00
17.0000,9.415E+00
17.1000,9.411E+00
17.2000,9.407E+00
17.3000,9.407E+00
17.4000,9.414E+00
17.5000,9.424E+00
17.6000,9.439E+00
17.7000,9.458E+00
17.8000,9.479E+00
17.9000,9.499E+00
18.0000,9.518E+00
18.1000,9.535E+00
18.2000,9.551E+00
18.3000,9.566E+00
18.4000,9.581E+00
18.5000,9.594E+00
18.6000,9.605E+00
18.7000,9.617E+00
18.8000,9.632E+00
18.9000,9.647E+00
19.0000,9.662E+00
19.1000,9.674E+00
19.2000,9.681E+00
19.3000,9.683E+00
19.4000,9.684E+00
19.5000,9.685E+00
19.6000,9.685E+00
19.7000,9.687E+00
19.8000,9.690E+00
19.9000,9.694E+00
20.0000,9.698E+00
20.1000,9.703E+00
20.2000,9.710E+00
20.3000,9.720E+00
20.4000,9.734E+00
20.5000,9.752E+00
20.6000,9.773E+00
20.7000,9.795E+00
20.8000,9.817E+00
20.9000,9.839E+00
21.0000,9.861E+00
21.1000,9.883E+00
21.2000,9.903E+00
21.3000,9.920E+00
21.4000,9.934E+00
21.5000,9.945E+00
21.6000,9.953E+00
21.7000,9.960E+00
21.8000,9.971E+00
21.9000,9.988E+00
22.0000,1.001E+01
22.1000,1.002E+01
22.2000,1.003E+01
22.3000,1.004E+01
22.4000,1.004E+01
22.5000,1.004E+01
22.6000,1.004E+01
22.7000,1.004E+01
22.8000,1.005E+01
22.9000,1.005E+01
23.0000,1.007E+01
23.1000,1.008E+01
23.2000,1.009E+01
23.3000,1.010E+01
23.4000,1.012E+01
23.5000,1.014E+01
23.6000,1.017E+01
23.7000,1.019E+01
23.8000,1.021E+01
23.9000,1.023E+01
24.0000,1.025E+01
24.1000,1.027E+01
24.2000,1.030E+01
24.3000,1.032E+01
24.4000,1.034E+01
24.5000,1.035E+01
24.6000,1.037E+01
24.7000,1.038E+01
24.8000,1.039E+01
24.9000,1.041E+01
25.0000,1.042E+01
25.1000,1.043E+01
25.2000,1.044E+01
25.3000,1.045E+01
25.4000,1.046E+01
25.5000,1.048E+01
25.6000,1.049E+01
25.7000,1.050E+01
25.8000,1.051E+01
25.9000,1.052E+01
26.0000,1.053E+01
26.1000,1.054E+01
26.2000,1.055E+01
26.3000,1.056E+01
26.4000,1.057E+01
26.5000,1.059E+01
26.6000,1.060E+01
26.7000,1.062E+01
26.8000,1.064E+01
26.9000,1.065E+01
27.0000,1.067E+01
27.1000,1.070E+01
27.2000,1.072E+01
27.3000,1.073E+01
27.4000,1.075E+01
27.5000,1.076E+01
27.6000,1.078E+01
27.7000,1.080E+01
27.8000,1.082E+01
27.9000,1.084E+01
28.0000,1.085E+01
28.1000,1.087E+01
28.2000,1.088E+01
28.3000,1.090E+01
28.4000,1.090E+01
28.5000,1.091E+01
28.6000,1.090E+01
28.7000,1.090E+01
28.8000,1.089E+01
28.9000,1.088E+01
29.0000,1.088E+01
29.1000,1.088E+01
29.2000,1.088E+01
29.3000,1.089E+01
29.4000,1.090E+01
29.5000,1.091E+01
29.6000,1.091E+01
29.7000,1.092E+01
29.8000,1.094E+01
29.9000,1.097E+01
30.0000,1.099E+01
30.1000,1.100E+01
30.2000,1.101E+01
30.3000,1.102E+01
30.4000,1.103E+01
30.5000,1.105E+01
30.6000,1.107E+01
30.7000,1.109E+01
30.8000,1.110E+01
30.9000,1.111E+01
31.0000,1.112E+01
31.1000,1.112E+01
31.2000,1.112E+01
31.3000,1.113E+01
31.4000,1.113E+01
31.5000,1.112E+01
31.6000,1.112E+01
31.7000,1.111E+01
31.8000,1.111E+01
31.9000,1.110E+01
32.0000,1.111E+01
32.1000,1.111E+01
32.2000,1.111E+01
32.3000,1.111E+01
32.4000,1.111E+01
32.5000,1.111E+01
32.6000,1.111E+01
32.7000,1.112E+01
32.8000,1.112E+01
32.9000,1.112E+01
33.0000,1.112E+01
33.1000,1.111E+01
33.2000,1.112E+01
33.3000,1.113E+01
33.4000,1.114E+01
33.5000,1.115E+01
33.6000,1.116E+01
