Time (s),GenTq

0.0000,4.309E+01
0.1000,4.308E+01
0.2000,4.303E+01
0.3000,4.298E+01
0.4000,4.293E+01
0.5000,4.289E+01
0.6000,4.286E+01
0.7000,4.285E+01
0.8000,4.284E+01
0.9000,4.284E+01
1.0000,4.283E+01
1.1000,4.282E+01
1.2000,4.279E+01
1.3000,4.277E+01
1.4000,4.274E+01
1.5000,4.271E+01
1.6000,4.267E+01
1.7000,4.263E+01
1.8000,4.258E+01
1.9000,4.252E+01
2.0000,4.246E+01
2.1000,4.241E+01
2.2000,4.236E+01
2.3000,4.232E+01
2.4000,4.228E+01
2.5000,4.224E+01
2.6000,4.220E+01
2.7000,4.216E+01
2.8000,4.211E+01
2.9000,4.207E+01
3.0000,4.202E+01
3.1000,4.199E+01
3.2000,4.197E+01
3.3000,4.196E+01
3.4000,4.196E+01
3.5000,4.196E+01
3.6000,4.196E+01
3.7000,4.197E+01
3.8000,4.197E+01
3.9000,4.199E+01
4.0000,4.203E+01
4.1000,4.206E+01
4.2000,4.211E+01
4.3000,4.215E+01
4.4000,4.220E+01
4.5000,4.225E+01
4.6000,4.231E+01
4.7000,4.237E+01
4.8000,4.244E+01
4.9000,4.251E+01
5.0000,4.257E+01
5.1000,4.264E+01
5.2000,4.271E+01
5.3000,4.278E+01
5.4000,4.286E+01
5.5000,4.296E+01
5.6000,4.306E+01
5.7000,4.316E+01
5.8000,4.326E+01
5.9000,4.335E+01
6.0000,4.344E+01
6.1000,4.353E+01
6.2000,4.360E+01
6.3000,4.367E+01
6.4000,4.374E+01
6.5000,4.380E+01
6.6000,4.384E+01
6.7000,4.388E+01
6.8000,4.390E+01
6.9000,4.392E+01
7.0000,4.393E+01
7.1000,4.395E+01
7.2000,4.397E+01
7.3000,4.398E+01
7.4000,4.399E+01
7.5000,4.400E+01
7.6000,4.402E+01
7.7000,4.402E+01
7.8000,4.401E+01
7.9000,4.401E+01
8.0000,4.399E+01
8.1000,4.396E+01
8.2000,4.393E+01
8.3000,4.390E+01
8.4000,4.385E+01
8.5000,4.380E+01
8.6000,4.375E+01
8.7000,4.369E+01
8.8000,4.363E+01
8.9000,4.358E+01
9.0000,4.354E+01
9.1000,4.351E+01
9.2000,4.348E+01
9.3000,4.346E+01
9.4000,4.344E+01
9.5000,4.342E+01
9.6000,4.340E+01
9.7000,4.337E+01
9.8000,4.335E+01
9.9000,4.332E+01
10.0000,4.330E+01
10.1000,4.327E+01
10.2000,4.325E+01
10.3000,4.323E+01
10.4000,4.321E+01
10.5000,4.321E+01
10.6000,4.320E+01
10.7000,4.320E+01
10.8000,4.321E+01
10.9000,4.321E+01
11.0000,4.323E+01
11.1000,4.325E+01
11.2000,4.327E+01
11.3000,4.329E+01
11.4000,4.331E+01
11.5000,4.334E+01
11.6000,4.336E+01
11.7000,4.339E+01
11.8000,4.342E+01
11.9000,4.345E+01
12.0000,4.349E+01
12.1000,4.351E+01
12.2000,4.354E+01
12.3000,4.356E+01
12.4000,4.359E+01
12.5000,4.362E+01
12.6000,4.366E+01
12.7000,4.370E+01
12.8000,4.374E+01
12.9000,4.378E+01
13.0000,4.381E+01
13.1000,4.383E+01
13.2000,4.385E+01
13.3000,4.387E+01
13.4000,4.389E+01
13.5000,4.391E+01
13.6000,4.392E+01
13.7000,4.393E+01
13.8000,4.393E+01
13.9000,4.393E+01
14.0000,4.393E+01
14.1000,4.393E+01
14.2000,4.393E+01
14.3000,4.393E+01
14.4000,4.392E+01
14.5000,4.390E+01
14.6000,4.387E+01
14.7000,4.384E+01
14.8000,4.380E+01
14.9000,4.375E+01
15.0000,4.370E+01
15.1000,4.365E+01
